2023-01-15 05:10:59 startup archives install
2023-01-15 05:10:59 install base-passwd:armhf <none> 3.5.51
2023-01-15 05:10:59 status half-installed base-passwd:armhf 3.5.51
2023-01-15 05:10:59 status unpacked base-passwd:armhf 3.5.51
2023-01-15 05:10:59 configure base-passwd:armhf 3.5.51 3.5.51
2023-01-15 05:10:59 status half-configured base-passwd:armhf 3.5.51
2023-01-15 05:11:00 status installed base-passwd:armhf 3.5.51
2023-01-15 05:11:00 startup archives install
2023-01-15 05:11:00 install base-files:armhf <none> 11.1+deb11u6
2023-01-15 05:11:00 status half-installed base-files:armhf 11.1+deb11u6
2023-01-15 05:11:00 status unpacked base-files:armhf 11.1+deb11u6
2023-01-15 05:11:00 configure base-files:armhf 11.1+deb11u6 11.1+deb11u6
2023-01-15 05:11:00 status half-configured base-files:armhf 11.1+deb11u6
2023-01-15 05:11:00 status installed base-files:armhf 11.1+deb11u6
2023-01-15 05:11:00 startup archives install
2023-01-15 05:11:00 upgrade dpkg 1.20.12 1.20.12
2023-01-15 05:11:00 status half-configured dpkg 1.20.12
2023-01-15 05:11:00 status unpacked dpkg 1.20.12
2023-01-15 05:11:00 status half-installed dpkg 1.20.12
2023-01-15 05:11:01 status unpacked dpkg:armhf 1.20.12
2023-01-15 05:11:01 configure dpkg:armhf 1.20.12 1.20.12
2023-01-15 05:11:01 status half-configured dpkg:armhf 1.20.12
2023-01-15 05:11:01 status installed dpkg:armhf 1.20.12
2023-01-15 05:11:01 startup archives install
2023-01-15 05:11:02 install libc6:armhf <none> 2.31-13+deb11u5
2023-01-15 05:11:02 status half-installed libc6:armhf 2.31-13+deb11u5
2023-01-15 05:11:03 status unpacked libc6:armhf 2.31-13+deb11u5
2023-01-15 05:11:03 configure libc6:armhf 2.31-13+deb11u5 2.31-13+deb11u5
2023-01-15 05:11:03 status half-configured libc6:armhf 2.31-13+deb11u5
2023-01-15 05:11:03 status installed libc6:armhf 2.31-13+deb11u5
2023-01-15 05:11:03 startup archives install
2023-01-15 05:11:04 install perl-base:armhf <none> 5.32.1-4+deb11u2
2023-01-15 05:11:04 status half-installed perl-base:armhf 5.32.1-4+deb11u2
2023-01-15 05:11:05 status unpacked perl-base:armhf 5.32.1-4+deb11u2
2023-01-15 05:11:05 configure perl-base:armhf 5.32.1-4+deb11u2 5.32.1-4+deb11u2
2023-01-15 05:11:05 status half-configured perl-base:armhf 5.32.1-4+deb11u2
2023-01-15 05:11:05 status installed perl-base:armhf 5.32.1-4+deb11u2
2023-01-15 05:11:05 startup archives install
2023-01-15 05:11:05 install mawk:armhf <none> 1.3.4.20200120-2
2023-01-15 05:11:05 status half-installed mawk:armhf 1.3.4.20200120-2
2023-01-15 05:11:05 status unpacked mawk:armhf 1.3.4.20200120-2
2023-01-15 05:11:05 configure mawk:armhf 1.3.4.20200120-2 1.3.4.20200120-2
2023-01-15 05:11:05 status half-configured mawk:armhf 1.3.4.20200120-2
2023-01-15 05:11:05 status installed mawk:armhf 1.3.4.20200120-2
2023-01-15 05:11:05 startup archives install
2023-01-15 05:11:05 install debconf:all <none> 1.5.77
2023-01-15 05:11:05 status half-installed debconf:all 1.5.77
2023-01-15 05:11:06 status unpacked debconf:all 1.5.77
2023-01-15 05:11:07 configure debconf:all 1.5.77 1.5.77
2023-01-15 05:11:07 status half-configured debconf:all 1.5.77
2023-01-15 05:11:07 status installed debconf:all 1.5.77
2023-01-15 05:11:07 startup archives unpack
2023-01-15 05:11:07 install libacl1:armhf <none> 2.2.53-10
2023-01-15 05:11:07 status half-installed libacl1:armhf 2.2.53-10
2023-01-15 05:11:08 status unpacked libacl1:armhf 2.2.53-10
2023-01-15 05:11:08 install adduser:all <none> 3.118
2023-01-15 05:11:08 status half-installed adduser:all 3.118
2023-01-15 05:11:08 status unpacked adduser:all 3.118
2023-01-15 05:11:08 install apt:armhf <none> 2.2.4
2023-01-15 05:11:08 status half-installed apt:armhf 2.2.4
2023-01-15 05:11:11 status unpacked apt:armhf 2.2.4
2023-01-15 05:11:11 install libapt-pkg6.0:armhf <none> 2.2.4
2023-01-15 05:11:11 status half-installed libapt-pkg6.0:armhf 2.2.4
2023-01-15 05:11:11 status unpacked libapt-pkg6.0:armhf 2.2.4
2023-01-15 05:11:11 install libattr1:armhf <none> 1:2.4.48-6
2023-01-15 05:11:11 status half-installed libattr1:armhf 1:2.4.48-6
2023-01-15 05:11:12 status unpacked libattr1:armhf 1:2.4.48-6
2023-01-15 05:11:12 install libaudit-common:all <none> 1:3.0-2
2023-01-15 05:11:12 status half-installed libaudit-common:all 1:3.0-2
2023-01-15 05:11:12 status unpacked libaudit-common:all 1:3.0-2
2023-01-15 05:11:12 install libaudit1:armhf <none> 1:3.0-2
2023-01-15 05:11:12 status half-installed libaudit1:armhf 1:3.0-2
2023-01-15 05:11:12 status unpacked libaudit1:armhf 1:3.0-2
2023-01-15 05:11:12 upgrade base-files:armhf 11.1+deb11u6 11.1+deb11u6
2023-01-15 05:11:12 status half-configured base-files:armhf 11.1+deb11u6
2023-01-15 05:11:12 status unpacked base-files:armhf 11.1+deb11u6
2023-01-15 05:11:12 status half-installed base-files:armhf 11.1+deb11u6
2023-01-15 05:11:12 status unpacked base-files:armhf 11.1+deb11u6
2023-01-15 05:11:12 upgrade base-passwd:armhf 3.5.51 3.5.51
2023-01-15 05:11:12 status half-configured base-passwd:armhf 3.5.51
2023-01-15 05:11:12 status unpacked base-passwd:armhf 3.5.51
2023-01-15 05:11:12 status half-installed base-passwd:armhf 3.5.51
2023-01-15 05:11:12 status unpacked base-passwd:armhf 3.5.51
2023-01-15 05:11:13 install bash:armhf <none> 5.1-2+deb11u1
2023-01-15 05:11:13 status half-installed bash:armhf 5.1-2+deb11u1
2023-01-15 05:11:13 status unpacked bash:armhf 5.1-2+deb11u1
2023-01-15 05:11:13 install libbz2-1.0:armhf <none> 1.0.8-4
2023-01-15 05:11:13 status half-installed libbz2-1.0:armhf 1.0.8-4
